Soil,Blue439,Green507,Red639,Sand (% wt.),Silt (% wt.),Clay (% wt.),Higroscopic Water (%),Fe (%),Fe dithionite (ppm),CaCO3 (%),EC (ds/m),Organic Carbon (%),Organic Matter (%),S.S.A (m2/g),Q/CM,Quartz,ClayMinerals,Smectite,Montmorillonite,Illite,Kaolinite,Calcite,Dolomite,other,Si02,Al2O3,Fe2O3,MgO,CaO,Na2O,K2O,TiO2,P2O5,LOI,F1,F2,F3,F4,F5,F6,AAS,SQCMI,SCI
K5,0.182191,0.213255,0.278978,36.4137,25.2226,38.3637,5.6,0.073,725.4,65.95,1.565,1.42,2.84,122.5,0.238095238,10,21,3,3,12,3,66,0,6,16.9,3.57,1.78,2.62,37.6,0.09,0.36,0.26,0.19,36.8,7.3,8.6,27.3,18.6,19.2,18.9,0.54,1.00523528,0.988924185
K6,0.170404,0.199436,0.264878,57.7836,21.1082,21.1082,5.3,0.082,821.3,64.44,2.44,1.64,2.93,99.4,0.555555556,20,18,3,3,10,2,65,0,0,19.1,3.59,1.82,1.97,36.7,0.16,0.68,0.31,0.82,34.9,4.9,6.4,21.4,19.8,27,20.5,0.45,1.003413053,0.988911358
K7,0.135282,0.165774,0.232528,38.6994,29.3177,31.9829,6.2,0.173,1732.5,63.41,0.961,1.3,2.74,130.4,0.416666667,10,12,0,0,10,2,63,0,15,18.2,4.32,2.2,2.17,36.1,0.12,0.46,0.33,0.22,35.9,6.2,6.7,23.2,20.8,26.7,16.4,0.49,1.003926725,0.993500541
K8,0.161973,0.195143,0.259511,21.9469,31.572,46.481,8.8,0.243,2428.9,43.24,5.93,1.32,3.2,200.8,0.416666667,25,30,5,5,15,5,43,2,5,30,6.94,4,3.27,25,0.35,0.97,0.63,0.44,28.6,10.5,12,33.1,18.5,15.5,10.1,0.67,1.002011997,0.99580231
O1,0.179101,0.245017,0.419838,48.3418,30.9949,20.6633,3.2,0.485,4849.1,55.89,0.856,1.17,2.56,107.6,0.147058824,10,34,2,2,5,25,54,2,2,22.8,5.07,2.68,2.79,32.4,0.17,0.52,0.45,0.25,32.8,10.6,8.6,23.1,23.1,16.6,30.3,10.6,1.011527808,0.990013193
O2,0.249233,0.3239,0.500184,15.7064,59.6906,24.6029,3.7,0.837,8372,74.27,15.42,1.1,2.3,176.3,0.357142857,5,7,2,2,3,0,75,2,13,13.6,4.99,2.49,0.77,40.3,0.06,0.12,0.23,1.01,36.3,13.6,11.1,30.3,21.6,19.6,3.9,0.71,1.006041053,0.99131457
O3,0.211455,0.281422,0.436161,48.2245,22.5388,29.2367,5.9,0.474,4742.1,56.96,68.3,0.3,2,166.6,1.25,25,10,0,0,5,5,57,2,6,26.4,4.02,3.33,1.74,31.3,0.62,0.29,0.35,0.37,29.8,6.5,5.9,26,28.9,22.3,22.3,10.3,1.00018921,0.995499118
O4,0.327144,0.433994,0.670745,45.6803,33.6265,20.6932,3.3,0.295,2954.6,64.28,4.82,0.25,0.92,136,3,30,5,0,0,3,2,64,1,5,24.4,4.49,2.02,1.62,35.5,0.24,0.54,0.3,0.39,30.8,4,4,13,19.3,49.6,10.1,0.37,1.006643514,0.982541547
P1,0.248723,0.33361,0.580453,71.4464,12.9789,15.5747,3.9,0.379,3785.2,47.83,2.59,0.28,1.14,173,0.303030303,20,33,8,0,10,15,4,0,0,28.9,4.8,2.5,1.36,32.8,0.21,0.6,0.52,0.13,27.2,7.1,5.5,20.1,18.3,39.6,9.4,0.48,1.011113891,0.996799298
P2,0.161,0.221,0.401,6.1522,33.8895,59.9583,4.1,1.164,11637.1,55.15,6.12,0.19,1.19,228.7,0.067567568,5,37,10,10,2,15,55,3,10,22,9.77,4.15,0.83,31.5,0.21,0.56,0.35,1.6,29,9.3,12.9,47.8,20.5,7.4,2.6,0.76,0.997350263,1.001204876
P3,0.281351,0.38009,0.623164,77.2612,13.9464,8.7923,1,0.276,2760,57.96,1.017,0.19,0.62,85.2,1.388888889,25,9,2,2,0,5,58,10,0,25.3,2.88,1.62,1.91,36.5,0.17,0.46,0.3,1.96,29,4.2,4.2,13.2,15.7,51.3,22,0.37,1.019734032,0.987162758
S1,0.106429,0.147548,0.265993,73.7654,10.8025,15.4321,2.8,0.317,3169.2,12.91,0.673,0.43,1.16,85.3,3.045454545,67,11,3,3,3,2,13,2,10,69.1,5.57,2.61,1.24,8.59,0.69,0.92,0.81,0.1,9.54,4,3.6,13,29,35.4,14.9,0.38,1.022968315,1.004724608
